Lucknow,12,719b564f-6295-4c1e-89fd-ba3c9f6ab4ff,2025-07-10 16:15:28,Card,304.79,Juice,4,1219.16
Bhopal,32,e39ec59b-ea87-467d-b4c7-d148f034fe89,2025-07-10 16:15:28,Cash,200.39,Biscuits,3,601.17
Chennai,12,3d50e448-dafb-4ac0-b0f0-70e329ad0089,2025-07-10 16:15:28,Cash,222.02,Maggi,1,222.02
Kolkata,28,74fc51a6-d78b-4693-926f-608b42240bf4,2025-07-10 16:15:28,UPI,272.59,Juice,4,1090.36
Surat,44,6e0c1542-1915-40bf-b9e6-561cc022c71d,2025-07-10 16:15:28,UPI,201.55,Maggi,4,806.2
Bengaluru,16,c6259687-84f6-46c1-b7cb-33a6d64a0f21,2025-07-10 16:15:28,Card,192.46,Milk,5,962.3000000000001
Bengaluru,33,7c93102f-974a-4c0f-9be6-c3470bcbce96,2025-07-10 16:15:28,UPI,180.16,Juice,5,900.8
Jaipur,7,b1ad722b-a863-44e3-9778-a12024db441a,2025-07-10 16:15:28,Cash,382.32,Paneer,3,1146.96
Patna,35,50eeb454-832c-4253-955a-5392198c22a4,2025-07-10 16:15:28,UPI,448.38,Juice,1,448.38
Bhopal,51,c2eac9e0-18ad-4c5b-be90-022ee3563fb7,2025-07-10 16:15:28,Cash,475.67,Eggs,4,1902.68
Vadodara,39,62ca4f6f-0370-4bf2-8677-040b0b9b9deb,2025-07-10 16:15:35,Cash,462.69,Bread,4,1850.76
Kolkata,10,e35a53f7-95d0-4427-93ee-9584e6d55ae8,2025-07-10 16:15:35,UPI,63.39,Milk,4,253.56
Bengaluru,48,b9623950-802f-439b-a51f-f86f7055a525,2025-07-10 16:15:35,Cash,442.17,Maggi,5,2210.85
Vadodara,59,0575e1dd-ffc0-41f3-8641-cd6c4255d59c,2025-07-10 16:15:35,Cash,478.51,Paneer,1,478.51
Hyderabad,37,b920d990-14b8-4324-841a-5b837287c20c,2025-07-10 16:15:35,Cash,48.6,Eggs,1,48.6
Indore,24,f7aa8d17-63e8-4ae3-a9f0-f9d57a8eef49,2025-07-10 16:15:35,Cash,27.99,Maggi,4,111.96
Patna,23,d3cafa3a-7216-4731-8b8a-feb87281c100,2025-07-10 16:15:35,Cash,93.68,Paneer,5,468.40000000000003
Patna,40,e8f1d132-2bda-40b4-b7ff-a1abc442e66b,2025-07-10 16:15:35,UPI,85.68,Milk,4,342.72
Indore,34,cad880d1-6e8f-4c1f-9b9a-3b139db1a0df,2025-07-10 16:15:35,Card,381.87,Paneer,5,1909.35
Ahmedabad,33,244d6fbc-05c0-44a0-8fba-c8f6dd87aabc,2025-07-10 16:15:35,Card,491.92,Eggs,3,1475.76
Chennai,7,c41e5cee-c841-4270-b3b0-7482dc65dfa5,2025-07-10 16:15:42,Cash,175.33,Paneer,4,701.32
Pune,38,18640fbd-2125-4b85-80bb-97caa019245d,2025-07-10 16:15:42,Cash,138.53,Milk,3,415.59000000000003
Delhi,25,206298d1-f1fe-4a12-9bfb-228d85626f75,2025-07-10 16:15:42,Cash,393.84,Milk,4,1575.36
Jaipur,30,326b2493-9d7d-42ef-9583-f369aeb99ca9,2025-07-10 16:15:42,UPI,328.38,Eggs,2,656.76
Delhi,28,3282ab16-7fe5-4e7d-ba0e-82682043fc09,2025-07-10 16:15:42,UPI,301.6,Biscuits,5,1508.0
Hyderabad,47,53b34fc0-673f-4fa7-8284-305100716dad,2025-07-10 16:15:42,Card,74.73,Eggs,4,298.92
Pune,53,c075f429-f332-4c4d-9373-1f3b654144de,2025-07-10 16:15:42,Card,95.69,Biscuits,4,382.76
Nagpur,45,d7072e2d-c22d-46f9-932f-f492802fa962,2025-07-10 16:15:42,Card,100.47,Maggi,1,100.47
Jaipur,5,e49a8c64-07bb-4f23-bc40-0674d1a870be,2025-07-10 16:15:42,UPI,83.2,Biscuits,5,416.0
Kolkata,7,9968c1aa-1071-408e-831e-6cf88ba07401,2025-07-10 16:15:42,UPI,233.85,Bread,5,1169.25
Ahmedabad,58,086771e8-9a6f-485f-9bfc-f4de87f373b2,2025-07-10 16:15:49,Card,188.74,Biscuits,1,188.74
Patna,57,51b7fd77-db4c-4761-8767-a8f5141653b3,2025-07-10 16:15:49,Card,267.78,Milk,3,803.3399999999999
Pune,6,2bb24b92-23c8-4010-9c34-c3b67ef40ad4,2025-07-10 16:15:49,Card,104.88,Eggs,4,419.52
Mumbai,38,9d126b82-1256-4ae2-b67f-1c3ccee7db4a,2025-07-10 16:15:49,UPI,168.96,Paneer,2,337.92
Pune,18,b59f5d08-1aa6-4426-80e7-4e2298acd06c,2025-07-10 16:15:49,UPI,30.24,Eggs,2,60.48
Indore,31,a8c25066-be3e-4a84-83bc-75594be58186,2025-07-10 16:15:49,Cash,485.86,Maggi,4,1943.44
Vadodara,28,2e050f94-cbba-42a8-8599-343e595b0e4e,2025-07-10 16:15:49,Card,479.77,Bread,2,959.54
Jaipur,32,0329b425-8e36-4ea6-b1b2-dc9bb424fec6,2025-07-10 16:15:49,Card,110.15,Juice,4,440.6
Nagpur,30,1533e7c7-8136-451f-94d1-a4146b139250,2025-07-10 16:15:49,UPI,69.1,Biscuits,1,69.1
Ahmedabad,37,f1349e7b-dc95-43d8-af4e-1207b9921314,2025-07-10 16:15:49,UPI,476.34,Maggi,3,1429.02
Hyderabad,46,c17878bd-4092-4c37-a980-402b449ded08,2025-07-10 16:15:56,Cash,392.54,Eggs,2,785.08
Vadodara,6,4c0a1a4f-1674-4f4b-98a5-968eb965f924,2025-07-10 16:15:56,UPI,25.3,Biscuits,5,126.5
Patna,30,30074bd9-fffa-4afa-85e9-0b48e97128ed,2025-07-10 16:15:56,Cash,47.93,Bread,1,47.93
Bengaluru,9,678df742-4c00-4c89-9265-fcc5a534e11d,2025-07-10 16:15:56,UPI,115.17,Biscuits,4,460.68
Mumbai,60,0e1260b0-0bc6-4536-bbe9-25f3f96a192f,2025-07-10 16:15:56,Cash,171.97,Maggi,2,343.94
Lucknow,11,9872b134-060d-4bc2-88d9-88431e465df4,2025-07-10 16:15:56,UPI,453.29,Milk,2,906.58
Nagpur,20,e9688d9d-2c6c-4b13-9cb9-8f7285c6ccf5,2025-07-10 16:15:56,Cash,275.57,Bread,1,275.57
Ahmedabad,47,f1bcd113-890e-48fe-8efe-0cd0b7a30203,2025-07-10 16:15:56,UPI,194.88,Eggs,5,974.4
Delhi,32,9c36b559-5da0-4c2d-a1ae-1e9c48ef935d,2025-07-10 16:15:56,UPI,203.34,Paneer,1,203.34
Kolkata,56,1085658e-08e5-462c-80af-c68eab60d4a6,2025-07-10 16:15:56,Card,441.15,Paneer,5,2205.75
Hyderabad,46,b52a5006-ca32-4c00-90b2-1466e92a2193,2025-07-10 16:16:03,UPI,147.78,Paneer,5,738.9
Lucknow,50,916d7b8a-2258-4b2b-b24d-8b06865be9eb,2025-07-10 16:16:03,Card,392.74,Juice,5,1963.7
Ahmedabad,24,771440f8-3767-470d-917d-a7ecc07b7aea,2025-07-10 16:16:03,Card,294.91,Maggi,3,884.73
Indore,6,8430f025-c551-4129-bdcc-d7a93e19dc0a,2025-07-10 16:16:03,UPI,331.33,Maggi,1,331.33
